logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
qf_lra,features_embeddings,0.8431,qf_lra_features_embeddings_model.joblib,qf_lra_train.csv,qf_lra_feat+emb.csv
qf_nra,embeddings,2.3147,qf_nra_embeddings_model.joblib,qf_nra_train.csv,qf_nra_description_embeddings.csv
qf_nra,embeddings_combined,2.3803,qf_nra_embeddings_combined_model.joblib,qf_nra_train.csv,qf_nra_description_with_features_embeddings.csv
qf_nra,features,0.9012,qf_nra_features_model.joblib,qf_nra_train.csv,qf_nra_features_filtered.csv
qf_nra,features_embeddings,2.4325,qf_nra_features_embeddings_model.joblib,qf_nra_train.csv,qf_nra_feat+emb.csv
qf_slia,embeddings,125.9043,qf_slia_embeddings_model.joblib,qf_slia_train.csv,qf_slia_description_embeddings.csv
qf_slia,embeddings_combined,153.1749,qf_slia_embeddings_combined_model.joblib,qf_slia_train.csv,qf_slia_description_with_features_embeddings.csv
qf_slia,features,31.3544,qf_slia_features_model.joblib,qf_slia_train.csv,qf_slia_features_filtered.csv
qf_slia,features_embeddings,192.6230,qf_slia_features_embeddings_model.joblib,qf_slia_train.csv,qf_slia_feat+emb.csv
uf,embeddings,1.4418,uf_embeddings_model.joblib,uf_train.csv,uf_description_embeddings.csv
uf,embeddings_combined,1.5000,uf_embeddings_combined_model.joblib,uf_train.csv,uf_description_with_features_embeddings.csv
uf,features,0.8474,uf_features_model.joblib,uf_train.csv,uf_features_filtered.csv
uf,features_embeddings,1.5332,uf_features_embeddings_model.joblib,uf_train.csv,uf_feat+emb.csv
ufdt,embeddings,1.0199,ufdt_embeddings_model.joblib,ufdt_train.csv,ufdt_description_embeddings.csv
ufdt,embeddings_combined,1.0442,ufdt_embeddings_combined_model.joblib,ufdt_train.csv,ufdt_description_with_features_embeddings.csv
ufdt,features,0.6920,ufdt_features_model.joblib,ufdt_train.csv,ufdt_features_filtered.csv
ufdt,features_embeddings,0.9945,ufdt_features_embeddings_model.joblib,ufdt_train.csv,ufdt_feat+emb.csv
